#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321ABECE0
#Date Time: 2024-11-29 08:55:14.451
#Sample rate: 5000Hz
#Samples: 20809
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 1.85 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 500 mV/div Offset: -3 V Attenuation: 1 X
#Power Supplies: OFF
#Positive Supply: Rdy
#Voltage: 5 V
#Negative Supply: Rdy
#Voltage: -1 V

Time (s),Channel 1 (V)
2.824,2.688810696859946
2.8242,2.689151335374021
2.8244,2.689832612402172
2.8246,2.690173250916247
2.8248,2.693579636057001
2.825,2.688129419831796
2.8252,2.686766865775494
2.8254,2.685063673205118
2.8256,2.685744950233268
2.8258,2.68199792657844
2.826,2.685404311719193
2.8262,2.690854527944398
2.8264,2.689491973888097
2.8266,2.688129419831796
2.8268,2.686766865775494
2.827,2.683701119148816
2.8272,2.679613456979913
2.8274,2.680294734008063
2.8276,2.681316649550289
2.8278,2.685404311719193
2.828,2.68199792657844
2.8282,2.685063673205118
2.8284,2.688810696859946
2.8286,2.686426227261419
2.8288,2.678591541437687
2.829,2.684041757662892
2.8292,2.679954095493988
2.8294,2.680635372522139
2.8296,2.684723034691042
2.8298,2.680635372522139
2.83,2.678932179951762
2.8302,2.679613456979913
2.8304,2.679954095493988
2.8306,2.681316649550289
2.8308,2.684723034691042
2.831,2.688470058345871
2.8312,2.686426227261419
2.8314,2.685063673205118
2.8316,2.685404311719193
2.8318,2.685063673205118
2.832,2.683701119148816
2.8322,2.683360480634741
2.8324,2.68778878131772
2.8326,2.689151335374021
2.8328,2.688810696859946
2.833,2.686085588747344
2.8332,2.690854527944398
2.8334,2.685063673205118
2.8336,2.687107504289569
2.8338,2.68778878131772
2.834,2.693579636057001
2.8342,2.694260913085151
2.8344,2.691535804972549
2.8346,2.668372386015428
2.8348,2.669053663043578
2.835,2.675185156296934
2.8352,2.692217082000699
2.8354,2.701073683366657
2.8356,2.696645382683678
2.8358,2.694942190113302
2.836,2.689832612402172
2.8362,2.693579636057001
2.8364,2.693579636057001
2.8366,2.694601551599226
2.8368,2.695964105655527
2.837,2.695282828627377
2.8372,2.695623467141452
2.8374,2.695623467141452
2.8376,2.688470058345871
2.8378,2.688470058345871
2.838,2.690513889430322
2.8382,2.68778878131772
2.8384,2.686766865775494
2.8386,2.686766865775494
2.8388,2.692557720514774
2.839,2.698007936739979
2.8392,2.700051767824431
2.8394,2.699711129310356
2.8396,2.700733044852582
2.8398,2.69868921376813
2.84,2.696304744169603
2.8402,2.699711129310356
2.8404,2.70448006850741
2.8406,2.70448006850741
2.8408,2.70379879147926
2.841,2.702776875937034
2.8412,2.700392406338507
2.8414,2.708908369190389
2.8416,2.716402416500046
2.8418,2.716743055014121
2.842,2.716061777985971
2.8422,2.714699223929669
2.8424,2.713336669873368
2.8426,2.710611561760766
2.8428,2.698007936739979
2.843,2.686426227261419
2.8432,2.713336669873368
2.8434,2.724237102323778
2.8436,2.723896463809703
2.8438,2.723215186781552
2.844,2.722193271239326
2.8442,2.7211713556971
2.8444,2.73786264288679
2.8446,2.739906473971242
2.8448,2.739906473971242
2.845,2.740247112485318
2.8452,2.739906473971242
2.8454,2.739906473971242
2.8456,2.739565835457167
2.8458,2.739565835457167
2.846,2.739225196943091
2.8462,2.739565835457167
2.8464,2.739225196943091
2.8466,2.738884558429016
2.8468,2.740247112485318
2.847,2.739906473971242
2.8472,2.739906473971242
2.8474,2.739565835457167
2.8476,2.739225196943091
2.8478,2.738884558429016
2.848,2.738543919914941
2.8482,2.73786264288679
2.8484,2.73786264288679
2.8486,2.737522004372715
2.8488,2.73718136585864
2.849,2.73718136585864
2.8492,2.736840727344565
2.8494,2.736500088830489
2.8496,2.736159450316414
2.8498,2.735818811802338
2.85,2.735818811802338
2.8502,2.735137534774188
2.8504,2.735137534774188
2.8506,2.735478173288263
2.8508,2.735137534774188
2.851,2.735137534774188
2.8512,2.734796896260113
2.8514,2.735137534774188
2.8516,2.735137534774188
2.8518,2.735478173288263
2.852,2.735137534774188
2.8522,2.734456257746038
2.8524,2.734456257746038
2.8526,2.734456257746038
2.8528,2.734456257746038
2.853,2.734115619231962
2.8532,2.734115619231962
2.8534,2.733774980717887
2.8536,2.733434342203811
2.8538,2.733434342203811
2.854,2.733093703689736
2.8542,2.732753065175661
2.8544,2.732412426661585
2.8546,2.73207178814751
2.8548,2.731731149633435
2.855,2.73207178814751
2.8552,2.731731149633435
2.8554,2.731390511119359
2.8556,2.730709234091209
2.8558,2.730709234091209
2.856,2.730709234091209
2.8562,2.730709234091209
2.8564,2.730709234091209
2.8566,2.730368595577134
2.8568,2.730368595577134
2.857,2.730027957063058
2.8572,2.730027957063058
2.8574,2.729687318548983
2.8576,2.729687318548983
2.8578,2.729346680034908
2.858,2.729346680034908
2.8582,2.729346680034908
2.8584,2.729006041520832
2.8586,2.729006041520832
2.8588,2.728665403006757
2.859,2.729006041520832
2.8592,2.728665403006757
2.8594,2.728324764492682
2.8596,2.727984125978606
2.8598,2.728324764492682
2.86,2.728324764492682
2.8602,2.728665403006757
2.8604,2.728665403006757
2.8606,2.729006041520832
2.8608,2.728665403006757
2.861,2.728665403006757
2.8612,2.728665403006757
2.8614,2.728324764492682
2.8616,2.727984125978606
2.8618,2.727984125978606
2.862,2.727984125978606
2.8622,2.727984125978606
2.8624,2.727643487464531
2.8626,2.727643487464531
2.8628,2.727643487464531
2.863,2.727643487464531
2.8632,2.727302848950456
2.8634,2.726962210436381
2.8636,2.725940294894155
2.8638,2.725940294894155
2.864,2.725259017866004
2.8642,2.724918379351929
2.8644,2.724237102323778
2.8646,2.723896463809703
2.8648,2.723896463809703
2.865,2.723896463809703
2.8652,2.723896463809703
2.8654,2.723555825295628
2.8656,2.722874548267477
2.8658,2.722193271239326
2.866,2.722193271239326
2.8662,2.721511994211176
2.8664,2.7211713556971
2.8666,2.7211713556971
2.8668,2.723215186781552
2.867,2.723215186781552
2.8672,2.723896463809703
2.8674,2.724918379351929
2.8676,2.724577740837853
2.8678,2.725259017866004
2.868,2.724918379351929
2.8682,2.724918379351929
2.8684,2.724237102323778
2.8686,2.724237102323778
2.8688,2.724237102323778
2.869,2.724237102323778
2.8692,2.723896463809703
2.8694,2.723555825295628
2.8696,2.722874548267477
2.8698,2.722193271239326
2.87,2.722193271239326
2.8702,2.723215186781552
2.8704,2.723555825295628
2.8706,2.723215186781552
2.8708,2.722874548267477
2.871,2.723215186781552
2.8712,2.723215186781552
2.8714,2.722874548267477
2.8716,2.722533909753402
2.8718,2.722874548267477
2.872,2.724577740837853
2.8722,2.725259017866004
2.8724,2.724918379351929
2.8726,2.724577740837853
2.8728,2.724577740837853
2.873,2.724237102323778
2.8732,2.724237102323778
2.8734,2.724237102323778
2.8736,2.724237102323778
2.8738,2.723555825295628
2.874,2.723215186781552
2.8742,2.723896463809703
2.8744,2.723896463809703
2.8746,2.723555825295628
2.8748,2.723555825295628
2.875,2.723896463809703
2.8752,2.724237102323778
2.8754,2.723896463809703
2.8756,2.723215186781552
2.8758,2.723215186781552
2.876,2.722874548267477
2.8762,2.724237102323778
2.8764,2.724918379351929
2.8766,2.725940294894155
2.8768,2.72628093340823
2.877,2.72628093340823
2.8772,2.726621571922305
2.8774,2.726962210436381
2.8776,2.726621571922305
2.8778,2.725940294894155
2.878,2.72628093340823
2.8782,2.726962210436381
2.8784,2.727302848950456
2.8786,2.727984125978606
2.8788,2.727984125978606
2.879,2.727984125978606
2.8792,2.727643487464531
2.8794,2.727643487464531
2.8796,2.728324764492682
2.8798,2.728324764492682
2.88,2.728665403006757
2.8802,2.728665403006757
2.8804,2.729346680034908
2.8806,2.729346680034908
2.8808,2.729346680034908
2.881,2.729687318548983
2.8812,2.729687318548983
2.8814,2.730027957063058
2.8816,2.728324764492682
2.8818,2.727984125978606
2.882,2.727984125978606
2.8822,2.728665403006757
2.8824,2.728665403006757
2.8826,2.728324764492682
2.8828,2.726962210436381
2.883,2.72628093340823
2.8832,2.725259017866004
